Number of Games,Game Duration
0,1.875008821
100,1.819292307
200,2.452312231
300,3.04134059
400,3.300141335
500,2.269821882
600,2.89509201
700,3.176359653
800,3.675359488
900,3.632905006
1000,3.953813076
1100,3.783688784
1200,3.220290422
1300,4.4011271
1400,4.452716255
1500,4.387817621
1600,4.107265234
1700,4.096900225
1800,7.926760197
1900,6.713044405
2000,4.920418978
2100,5.393500328
2200,7.113246202
2300,6.058386564
2400,8.737432003
2500,5.874740124
2600,6.637390852
2700,7.078310966
2800,4.801692724
2900,5.052640915
3000,6.975064278
3100,6.529167652
3200,7.028325558
3300,7.20675683
3400,8.423629045
3500,8.508202076
3600,7.424840212
3700,8.593711376
3800,8.389767647
4000,6.934345245
4200,8.59048295
4400,7.131803036
4600,8.151727915
4800,7.82790494
5000,6.334143877
5200,9.486369848
5400,7.752888441
5600,8.715943098
5800,8.716273546
6000,10.75313616
6200,8.152323961
6300,8.306706429
6400,9.390179157
6500,9.698999405
6600,10.43100834
6700,10.22407937
6800,8.511544228
6900,8.678489923
7000,9.326217175
7100,10.0300045
7200,9.320902109
7300,9.340321779
7400,9.3355093
7500,8.102116823
7600,7.280338764
7700,7.789292336
7800,8.718848467
7900,8.858114481
8000,8.703044415
8100,7.62351799
8200,9.897767544
8300,10.14571452
8400,7.316496372
8500,11.09183526
8600,9.399857521
8700,7.808535337
8800,11.39569068
8900,8.50282073
9000,7.019930601
9100,10.49578714
9200,10.63138413
9300,9.173138857
9400,12.53482938
9500,9.535103559
9600,8.516936541
9700,9.149803877
9800,7.342661619
9900,9.032432318
10000,11.48715997
10100,12.6519897
10200,8.655152559
10300,10.33834457
10400,8.75522089
10500,13.12332487
10600,9.585810661
10700,11.45112991
10800,10.12818956
10900,14.76749086
11000,13.14834237
11100,10.33334351
